date, pm25, pm10, o3, no2, so2, co
2024/5/14, 46, 17, 32, 13, , 
2024/5/15, 70, 13, 26, 7, , 
2024/5/16, 59, 11, 31, 9, , 
2024/5/17, 49, 6, 34, 10, , 
2024/5/18, 30, 10, 35, 9, , 
2024/5/19, 49, 25, 28, 12, , 
2024/5/20, 93, 22, 15, 13, , 
2024/5/21, 81, 6, 26, 11, , 
2024/5/22, 33, 9, 31, 10, , 
2024/5/23, 40, 7, 32, 12, , 
2024/5/24, 36, 11, 41, 9, , 
2024/5/25, 52, 11, 36, 7, , 
2024/5/26, 53, 13, 41, 13, , 
2024/5/27, 58, 14, 24, 15, , 
2024/5/28, 62, 5, 32, 12, , 
2024/5/29, 27, 6, 33, 8, , 
2024/5/30, 34, 8, 24, 6, , 
2024/5/31, 39, 5, 30, 7, , 
2024/6/1, 27, 5, 34, 7, , 
2024/6/2, 31, 6, 22, 9, , 
2024/6/3, 32, 6, 25, 11, , 
2024/6/4, 28, 10, 32, 12, , 
2024/6/5, 45, 18, 39, 12, , 
2024/6/6, 59, 23, 40, 13, , 
2024/6/7, 60, 27, 36, 9, , 
2024/6/8, 77, 31, 35, 8, , 
2024/6/9, 79, 22, 27, 9, , 
2024/6/10, 60, 11, 31, 10, , 
2024/6/11, 37, 7, 25, 7, , 
2024/6/12, 19, 14, 17, 13, , 
2024/6/13, 44, 15, 26, 12, , 
2024/6/14, 49, 14, 35, 8, , 
2024/6/15, 44, 10, 37, 7, , 
2024/6/16, 31, 14, 40, 12, , 
2024/6/17, 41, 20, 35, 13, , 
2024/6/18, 56, 21, 33, 9, , 
2024/6/19, 46, 22, 35, 11, , 
2024/6/20, 50, 45, 22, 11, , 
2024/6/21, 91, 35, 27, 5, , 
2024/6/22, 68, 11, 38, 3, , 
2024/6/23, 22, 14, 34, 5, , 
2024/6/24, 40, 18, 29, 9, , 
2024/6/25, 54, 25, 22, 11, , 
2024/6/26, 72, 16, 33, 9, , 
2024/6/27, 50, 17, 40, 12, , 
2024/6/28, 50, 16, 36, 11, , 
2024/6/29, 50, 17, 31, 8, , 
2024/6/30, 51, 13, 35, 7, , 
2024/1/1, 53, 22, 19, 8, , 
2024/1/2, 73, 11, 21, 11, , 
2024/1/3, 35, 19, 18, 14, , 
2024/1/4, 61, 46, 5, 18, , 
2024/1/5, 126, 28, 14, 9, , 
2024/1/6, 86, 7, 20, 4, , 
2024/1/7, 30, 18, 22, 4, , 
2024/1/8, 65, 27, 15, 7, , 
2024/1/9, 84, 44, 11, 12, , 
2024/1/10, 120, 60, 12, 17, , 
2024/1/11, 151, 51, 6, 17, , 
2024/1/12, 138, 47, 14, 18, , 
2024/1/13, 126, 61, 9, 18, , 
2024/1/14, 158, 47, 19, 17, , 
2024/1/15, 127, 21, 14, 14, , 
2024/1/16, 69, 34, 10, 13, , 
2024/1/17, 103, 17, 16, 16, , 
2024/1/18, 59, 18, 19, 14, , 
2024/1/19, 62, 50, 11, 24, , 
2024/1/20, 139, 47, 19, 20, , 
2024/1/21, 132, 63, 10, 29, , 
2024/1/22, 160, 39, 16, 25, , 
2024/1/23, 111, 45, 24, 17, , 
2024/1/24, 124, 35, 16, 20, , 
2024/1/25, 100, 35, 17, 22, , 
2024/1/26, 90, 36, 21, 18, , 
2024/1/27, 95, 49, 19, 17, , 
2024/1/28, 130, 62, 12, 21, , 
2024/1/29, 154, 60, 14, 22, , 
2024/1/30, 152, 69, 10, 24, , 
2024/1/31, 167, 69, 9, 23, , 
2024/2/1, 164, 54, 15, 20, , 
2024/2/2, 132, 50, 13, 23, , 
2024/2/3, 127, 61, 12, 23, , 
2024/2/4, 154, 33, 23, 13, , 
2024/2/5, 92, 24, 24, 10, , 
2024/2/6, 76, 21, 24, 12, , 
2024/2/7, 66, 17, 27, 10, , 
2024/2/8, 56, 15, 30, 6, , 
2024/2/9, 49, 24, 25, 11, , 
2024/2/10, 67, 13, 15, 8, , 
2024/2/11, 51, 12, 18, 12, , 
2024/2/12, 39, 27, 14, 17, , 
2024/2/13, 74, 34, 18, 19, , 
2024/2/14, 92, 39, 17, 19, , 
2024/2/15, 103, 29, 22, 18, , 
2024/2/16, 84, 45, 19, 17, , 
2024/2/17, 122, 27, 21, 14, , 
2024/2/18, 84, 47, 4, 22, , 
2024/2/19, 130, 39, 21, 18, , 
2024/2/20, 108, 24, 26, 15, , 
2024/2/21, 70, 14, 32, 9, , 
2024/2/22, 48, 8, 34, 10, , 
2024/2/23, 28, 8, 29, 8, , 
2024/2/24, 28, 29, 21, 17, , 
2024/2/25, 87, 28, 23, 18, , 
2024/2/26, 82, 42, 3, 23, , 
2024/2/27, 116, 41, 3, 17, , 
2024/2/28, 118, 44, 10, 15, , 
2024/2/29, 122, 45, 12, 15, , 
2024/3/1, 129, 35, 18, 13, , 
2024/3/2, 106, 23, 29, 16, , 
2024/3/3, 69, 36, 18, 21, , 
2024/3/4, 93, 34, 25, 15, , 
2024/3/5, 92, 26, 25, 9, , 
2024/3/6, 78, 23, 21, 7, , 
2024/3/7, 74, 36, 9, 14, , 
2024/3/8, 105, 43, 9, 13, , 
2024/3/9, 126, 41, 21, 11, , 
2024/3/10, 120, 7, 19, 12, , 
2024/3/11, 37, 16, 19, 13, , 
2024/3/12, 52, 28, 22, 15, , 
2024/3/13, 78, 22, 24, 16, , 
2024/3/14, 84, 18, 33, 20, , 
2024/3/15, 70, 25, 26, 15, , 
2024/3/16, 90, 20, 27, 12, , 
2024/3/17, 74, 9, 29, 7, , 
2024/3/18, 45, 17, 25, 10, , 
2024/3/19, 70, 30, 30, 17, , 
2024/3/20, 104, 26, 27, 18, , 
2024/3/21, 94, 10, 30, 14, , 
