date, pm25, pm10, no2, so2, co
2023/11/17, 54, 19, 11, , 
2023/11/18, 57, 33, 12, , 
2023/11/19, 96, 59, 24, , 
2023/11/20, 140, 25, 19, , 
2023/11/21, 76, 14, 11, , 
2023/11/22, 51, 32, 14, , 
2023/11/23, 85, 37, 20, , 
2023/11/24, 97, 13, 13, , 
2023/11/25, 45, 22, 15, , 
2023/11/26, 71, 48, 23, , 
2023/11/27, 111, 34, 20, 1, 
2023/11/28, 96, 25, 14, , 
2023/11/29, 72, 39, 17, 1, 
2023/11/30, 109, 31, 13, 1, 
2023/12/1, 92, 18, 11, 1, 
2023/12/2, 65, 23, 12, , 
2023/12/3, 78, 44, 19, , 
2023/12/4, 120, 40, 19, , 
2023/12/5, 118, 27, 16, , 
2023/12/6, 86, 46, 18, , 
2023/12/7, 119, 53, 20, , 
2023/12/8, 131, 39, 12, , 
2023/12/9, 115, 34, 12, , 
2023/12/10, 101, 38, 18, , 
2023/12/11, 107, 58, 23, 1, 
2023/12/12, 142, 45, 25, 1, 
2023/12/13, 122, 29, 21, 1, 
2023/12/14, 82, 15, 14, , 
2023/12/15, 48, 28, 16, , 
2023/12/16, 78, 37, 12, , 
2023/12/17, 101, 61, 23, , 
2023/12/18, 146, 73, 28, , 
2023/12/19, 160, 65, 26, 1, 
2023/12/20, 145, 42, 20, , 
2023/12/21, 109, 34, 20, 1, 
2023/12/22, 91, 38, 18, , 
2023/12/23, 100, 77, 22, 1, 
2023/12/24, 174, 15, 6, 1, 
2023/12/25, 48, 13, 7, , 
2023/12/26, 46, 34, 15, , 
2023/12/27, 90, 23, 12, , 
2023/12/28, 71, 22, 19, , 
2023/12/29, 62, 23, 12, , 
2023/12/30, 67, , , , 
2023/7/1, 48, 19, 6, 4, 
2023/7/2, 59, 17, 14, , 
2023/7/3, 52, 11, 8, 5, 
2023/7/4, 39, 18, 8, , 
2023/7/5, 53, 11, 12, 6, 
2023/7/6, 32, 14, 13, , 
2023/7/7, 43, 17, 7, 5, 
2023/7/8, 50, 20, 6, , 
2023/7/9, 60, 25, 8, 5, 
2023/7/10, 67, 34, 9, , 
2023/7/11, 84, 32, 10, 5, 
2023/7/12, 65, 18, 9, , 
2023/7/13, 45, 15, 7, , 
2023/7/14, 43, 21, 6, , 
2023/7/15, 56, 28, 6, 3, 
2023/7/16, 71, 34, 10, , 
2023/7/17, 77, 25, 10, 5, 
2023/7/18, 60, 19, 11, , 
2023/7/19, 45, 13, 4, , 
2023/7/20, 40, 14, , , 
2023/7/21, 39, 16, 8, 5, 
2023/7/22, 49, 15, 3, , 
2023/7/23, 49, 27, 7, 5, 
2023/7/24, 64, 18, 12, , 
2023/7/25, 50, 5, 3, , 
2023/7/26, 16, 7, 4, , 
2023/7/27, 20, 10, 11, , 
2023/7/28, 30, , , , 
2023/7/30, 45, 11, 6, 4, 
2023/7/31, 32, 14, 6, , 
2023/8/1, 41, 6, 5, 5, 
2023/8/2, 19, 18, 7, , 
2023/8/3, 49, 8, 9, 5, 
2023/8/4, 25, 4, 6, , 
2023/8/5, 13, , , , 
2023/8/7, 17, 6, 4, 7, 
2023/8/8, 17, 12, 7, , 
2023/8/9, 33, 9, 7, 4, 
2023/8/10, 28, 11, 7, , 
2023/8/11, 35, 15, 5, 4, 
2023/8/12, 45, 18, 4, 4, 
2023/8/13, 55, 27, 8, 1, 
2023/8/14, 73, 29, 6, 1, 
2023/8/15, 73, 27, 11, , 
2023/8/16, 70, 29, 8, , 
2023/8/17, 73, 28, 9, 5, 
2023/8/18, 71, 33, 8, , 
2023/8/19, 83, 36, 6, 2, 
2023/8/20, 89, 35, 11, , 
2023/8/21, 84, 38, 8, 2, 
2023/8/22, 83, 40, 11, 1, 
2023/8/23, 90, 34, 9, 4, 
2023/8/24, 76, 38, 8, , 
2023/8/25, 86, 38, 6, , 
2023/8/26, 84, 38, 7, , 
2023/8/27, 88, 30, 13, , 
2023/8/28, 66, 19, 10, , 
2023/8/29, 48, 11, 12, , 
2023/8/30, 20, 8, 9, , 
2023/8/31, 26, 12, 7, 1, 
2023/9/1, 36, 14, 8, , 
2023/9/2, 42, 14, 8, 1, 
2023/9/3, 44, 18, 11, , 
2023/9/4, 43, 21, 13, , 
2023/9/5, 50, 25, 15, , 
2023/9/6, 63, 26, 15, , 
2023/9/7, 57, 37, 16, , 
2023/9/10, 66, 40, 12, 2, 
2023/9/12, 73, 39, 12, , 
2023/9/13, 94, 27, 16, , 
2023/9/15, 52, 19, 8, , 
2023/9/16, 52, 20, 7, , 
2023/9/17, 59, 28, 9, , 
2023/9/18, 67, 18, 11, , 
2023/9/19, 46, 18, 9, , 
2023/9/20, 47, 17, 8, , 
2023/9/21, 48, 29, 11, , 
2023/9/22, 63, 12, 7, , 
2023/9/23, 36, 5, 5, , 
2023/9/24, 15, 15, 13, , 
2023/9/25, 40, 30, 14, , 
2023/9/26, 65, 39, 16, , 
2023/9/27, 72, 38, 15, , 
2023/9/28, 68, 37, 14, , 
2023/9/29, 70, 35, 13, , 
2023/9/30, 78, 23, 8, , 
2023/4/1, 32, 9, 9, 4, 
2023/4/2, 40, 11, 8, 3, 
2023/4/3, 33, 13, 10, , 
2023/4/4, 42, 18, 15, 6, 
2023/4/5, 56, 21, 14, , 
2023/4/6, 60, 32, 15, 4, 
2023/4/7, 84, 31, 11, , 
2023/4/8, 87, 16, 9, 3, 
2023/4/9, 59, 19, 9, , 
2023/4/10, 63, 22, 7, , 
2023/4/11, 71, , , , 
2023/4/16, 27, 12, 12, 3, 
2023/4/17, 42, 13, 10, , 
2023/4/18, 50, 19, 14, 4, 
2023/4/19, 57, 18, 13, , 
2023/4/20, 57, 27, 17, 4, 
2023/4/21, 66, 27, 10, , 
2023/4/22, 67, 21, 7, 3, 
2023/4/23, 58, 15, 19, , 
2023/4/24, 49, 7, 10, , 
2023/4/25, 24, 15, 13, 5, 
2023/4/26, 44, 17, 9, , 
2023/4/27, 51, 20, 12, 3, 
2023/4/28, 55, 14, 9, , 
2023/4/29, 42, 12, 9, 4, 
2023/4/30, 41, 17, 11, , 
2023/5/1, 53, 19, 17, 4, 
2023/5/2, 61, 12, 11, , 
2023/5/3, 44, 18, 11, 3, 
2023/5/4, 55, 22, 10, , 
2023/5/5, 62, 23, 8, 1, 
2023/5/6, 64, 17, 8, , 
2023/5/7, 55, 21, 11, 3, 
2023/5/8, 63, 19, 10, , 
2023/5/9, 52, 20, 12, 1, 
2023/5/10, 57, 17, 15, , 
2023/5/11, 59, 10, 15, 4, 
2023/5/12, 34, 18, 12, , 
2023/5/13, 59, 12, 11, 4, 
2023/5/14, 46, 11, 12, , 
2023/5/15, 37, 6, 11, 6, 
2023/5/16, 23, 6, 14, , 
2023/5/17, 21, 18, 14, 4, 
2023/5/18, 50, 21, 13, , 
2023/5/19, 63, 26, 14, 1, 
2023/5/20, 69, 27, 12, , 
2023/5/21, 68, 26, 13, 1, 
2023/5/22, 66, 28, 11, , 
2023/5/23, 69, 17, 14, 4, 
2023/5/24, 54, 18, 11, , 
2023/5/25, 54, 23, 14, , 
2023/5/26, 63, , , , 
2023/5/28, 61, 22, 11, , 
2023/5/29, 59, 19, 10, 4, 
2023/5/30, 55, 22, 17, , 
2023/5/31, 60, 31, 10, 4, 
2023/6/1, 80, 26, 13, , 
2023/6/2, 68, 22, 10, 4, 
2023/6/3, 60, 24, 7, , 
2023/6/4, 63, 20, 14, 4, 
2023/6/5, 61, 20, 13, , 
2023/6/6, 59, 20, 13, 6, 
2023/6/7, 59, 16, 7, , 
2023/6/8, 49, 18, 7, 4, 
2023/6/9, 52, 17, 9, , 
2023/6/10, 54, 18, 7, 4, 
2023/6/11, 58, 17, 12, , 
2023/6/12, 48, 20, 10, , 
2023/6/13, 47, 18, 12, 2, 
2023/6/14, 48, 19, 13, , 
2023/6/15, 52, 20, 12, 4, 
2023/6/16, 55, 20, 12, , 
2023/6/17, 56, 21, 5, 6, 
2023/6/18, 61, 29, 12, , 
2023/6/19, 72, 36, 10, 4, 
2023/6/20, 84, 43, 11, , 
2023/6/21, 89, 38, 5, 4, 
2023/6/22, 79, 40, 6, , 
2023/6/23, 71, 13, 8, 4, 
2023/6/24, 41, 18, 7, , 
2023/6/25, 55, 21, 9, 4, 
2023/6/26, 61, 22, 12, , 
2023/6/27, 63, 12, 10, 7, 
2023/6/28, 42, 15, 8, , 
2023/6/29, 43, 15, 6, 4, 
2023/6/30, 44, 16, 9, , 
2023/2/28, 80, 27, 16, , 
2023/3/1, 84, 28, 17, 4, 
2023/3/2, 100, 35, 19, , 
2023/3/3, 135, 54, 17, 4, 
2023/3/4, 113, 45, 15, , 
2023/3/5, 85, 30, 12, , 
2023/3/6, 85, 33, 16, 3, 
2023/3/7, 79, 29, 14, , 
2023/3/8, 43, 14, 12, 5, 
2023/3/9, 42, 18, 11, , 
2023/3/10, 69, 25, 21, 4, 
2023/3/11, 56, 18, 13, , 
2023/3/12, 49, 14, 9, 3, 
2023/3/13, 61, 21, 12, , 
2023/3/14, 35, 16, 13, 4, 
2023/3/15, 33, 10, 15, , 
2023/3/16, 45, 15, 16, 3, 
2023/3/17, 66, 25, 14, , 
2023/3/18, 80, 32, 16, 1, 
2023/3/19, 64, 22, 10, , 
2023/3/20, 71, 27, 15, 5, 
2023/3/21, 90, 35, 15, , 
2023/3/22, 71, 28, 15, 3, 
2023/3/23, 67, 29, 18, , 
2023/3/24, 58, 22, 10, 3, 
2023/3/25, 42, 12, 12, , 
2023/3/26, 73, 25, 12, 4, 
2023/3/27, 13, 4, 11, , 
2023/3/28, 28, 10, 16, 3, 
2023/3/29, 67, 25, 18, , 
2023/3/30, 39, 15, 9, 3, 
2023/3/31, 38, 12, 7, 4, 
2024/9/7, , 22, 6, 3, 
2023/12/31, , 15, 10, , 
2023/10/15, , 13, 14, , 
2023/11/14, , 26, , , 
2023/7/29, , 14, 6, , 
2023/8/6, , 6, 8, , 
2023/9/8, , 30, 11, 3, 
2023/9/9, , 30, 7, , 
2023/9/11, , 38, 12, , 
2023/9/14, , 18, 13, , 
2023/4/15, , 7, 10, , 
2023/5/27, , 23, 8, 4, 
2023/1/2, , 14, 10, , 
2023/1/3, , 25, 18, 4, 
2023/1/4, , 22, 15, , 
2023/1/5, , 23, 12, 6, 
2023/1/6, , 32, 14, , 
2023/1/7, , 44, 15, 4, 
2023/1/8, , 25, 14, , 
2023/1/9, , 19, 22, 3, 
2023/1/10, , 7, 12, , 
2023/1/11, , 24, 17, 3, 
2023/1/12, , 45, 21, , 
2023/1/13, , 50, 20, 4, 
2023/1/14, , 48, 16, , 
2023/1/15, , 45, 17, , 
2023/1/16, , 17, 17, 4, 
2023/1/17, , 16, 23, , 
2023/1/18, , 27, 27, 6, 
2023/1/19, , 18, 16, , 
2023/1/20, , 30, 22, 4, 
